"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"國民年金保險基金附屬單位預算","pdf","http://opendata.mol.gov.tw/datastore/國民年金保險基金附屬單位預算.pdf","other","最近一年度之預算","依中央政府總預算附屬單位預算編製作業手冊規定編製，包括收支預計表、預計平衡表、現金流量預計表及收入成本之明細表等。","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","徐小姐","02-23961266#3171",""
"勞工保險局附屬單位決算","pdf","http://opendata.mol.gov.tw/datastore/勞工保險局附屬單位決算.pdf","other","最近一年度之決算","依中央政府總決算附屬單位決算編製作業手冊規定編製，包括損益表、資產負債表、現金流量表及收入費用之明細表及分析表等。","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","何小姐","02-23961266#2718",""
"積欠墊償基金決算","pdf","http://opendata.mol.gov.tw/datastore/積欠墊償基金決算.pdf","other","最近一年度之決算","依中央政府總決算附屬單位決算編製作業手冊規定編製，包括收支餘絀決算表、平衡表、現金流量決算表及收入支出之明細表及分析表等。","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","何小姐","02-23961266#2718",""
"國民年金保險基金附屬單位決算","pdf","http://opendata.mol.gov.tw/datastore/國民年金保險基金附屬單位決算.pdf","other","最近一年度之決算","依中央政府總決算附屬單位決算編製作業手冊規定編製，包括收支餘絀決算表、平衡表、現金流量決算表及收入成本之明細表等。","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","何小姐","02-23961266#2718",""
"勞工保險統計年報","zip","http://opendata.mol.gov.tw/datastore/勞工保險統計年報.zip","other","最近一年度之勞工保險統計年報","勞工保險、就業保險、積欠工資墊償基金、農民健康保險、老年農民福利津貼、勞工退休金及國民年金等業務相關之公務統計","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陸小姐","02-23961266#2742",""
"勞動部組織職掌","csv","http://opendata.mol.gov.tw/datastore/勞動部組織職掌.csv","rawData","提供勞動部各單位職掌","單位名稱、職掌","勞動部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳小姐","02-85902926",""
"勞動部性別平等專區","csv","http://opendata.mol.gov.tw/datastore/勞動部性別平等專區.csv","rawData","提供勞動部性別平等相關資訊","網站名稱、相關聯結","勞動部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","賴小姐","02-85902930",""
"行政院所屬各機關暨地方政府人事人員未來五年退休人員統計","xls","行政院所屬各機關暨地方政府人事人員未來五年退休人員統計","other","行政院所屬各機關暨地方政府人事人員未來五年退休人員統計","未來五年退休人員","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"    ‧行政院所屬各機關暨地方政府歷年分配公務人員考試錄取人數統計","xls","http://www.dgpa.gov.tw/public/Attachment/331595344.xls","other","    ‧行政院所屬各機關暨地方政府歷年分配公務人員考試錄取人數統計","公務人員考試錄取人數","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院所屬各機關暨地方政府歷年分配高普暨初等考試錄取人員性別統計","xls","http://www.dgpa.gov.tw/public/Attachment/3315952141.xls","other","行政院所屬各機關暨地方政府歷年分配高普暨初等考試錄取人員性別統計","高普暨初等考試錄取人員性別","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計","xls","‧行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計","other","行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計","高普暨初等考試錄取人數","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院所屬各機關暨地方政府公務人員訓練進修人數","xls","行政院所屬各機關暨地方政府公務人員訓練進修人數","other","行政院所屬各機關暨地方政府公務人員訓練進修人數","公務人員訓練進修人數","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院所屬各機關暨地方政府公務人員獎懲人數","xls","行政院所屬各機關暨地方政府公務人員獎懲人數","other","行政院所屬各機關暨地方政府公務人員獎懲人數","公務人員獎懲人數","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298",""
"行政院所屬各機關暨地方政府公教人員獎懲人數統計","xls","http://www.dgpa.gov.tw/public/Attachment/3315962197.xls","other","行政院所屬各機關暨地方政府公教人員獎懲人數統計","公教人員獎懲人數","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298",""
"行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表","xls","http://www.dgpa.gov.tw/public/Attachment/3315964531.xls","other","行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表","服務獎章核頒數量","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"體育署支付及接受補助對象","csv","http://www.sa.gov.tw/wSite/public/Data/f1423210029750.csv","rawData","本署支付補助對象資料","年度,季別,輔助對象,輔助事項,輔助金額(元)","教育部","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","林小姐","02-87711921",""
"基隆十大食尚餐廳","pdf","http://www.klcg.gov.tw/uploaddowndoc?file=/pubklcg/downfile/%E5%9F%BA%E9%9A%86%E5%8D%81%E5%A4%A7%E9%A3%9F%E5%B0%9A%E9%A4%90%E5%BB%B3.pdf&flag=doc","other","基隆十大食尚餐廳","基隆十大食尚餐廳","基隆市政府","不更新","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","http://www.klcg.gov.tw/uploaddowndoc?file=/pubklcg/downfile/%E5%9F%BA%E9%9A%86%E5%8D%81%E5%A4%A7%E9%A3%9F%E5%B0%9A%E9%A4%90%E5%BB%B3.pdf&flag=doc","陳小姐","02-24289225",""
"公教人員待遇歷年調整狀況統計 ","xls","http://www.dgpa.gov.tw/public/Attachment/431117355718.xls","other","公教人員待遇歷年調整狀況統計 ","公教人員待遇歷年調整狀況","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"體育署政策宣導相關廣告執行情形","csv","http://www.sa.gov.tw/wSite/public/Data/f1423210600281.csv","rawData","體育署政策宣導相關廣告執行情形","年度,季別,廣告主要內容,刊登或播出時間,次數,託播對象,工作計畫或四級科目名稱,金額","教育部","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","王小姐","02-87711538",""
"公教人員待遇調整參考因素","xls","http://www.dgpa.gov.tw/public/Attachment/431117361520.xls","other","公教人員待遇調整參考因素","公教人員待遇調整參考因素","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"中央各機關公教人員急難貸款統計","xls","http://www.dgpa.gov.tw/public/Attachment//431117363068.xlsx","other","中央各機關公教人員急難貸款統計","公教人員急難貸款","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"要保機構名單","csv","http://www.cdic.gov.tw/public/opendata/要保機構名單.csv","rawData","提供參加存款保險之金融機構名單","機構類別、機構代號、機構名稱及機構網址","中央存款保險股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳小姐","02-23573286",""
"全國公教人員福利措施統計表","xls","http://www.dgpa.gov.tw/public/Attachment/43111737351.xlsx","other","全國公教人員福利措施統計表","全國公教人員福利措施","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處承辦各項文康活動統計","xls","http://www.dgpa.gov.tw/public/Attachment//43111738276.xls","other","行政院人事行政總處承辦各項文康活動統計","各項文康活動","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處公務人力發展中心在職訓練人數","xls","http://www.dgpa.gov.tw/public/Attachment/4479275560.xls","other","行政院人事行政總處公務人力發展中心在職訓練人數","在職訓練人數","行政院人事行政總處","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處地方行政研習中心受訓學員官等","xls","http://www.dgpa.gov.tw/public/Attachment/431117393420.xls","other","行政院人事行政總處地方行政研習中心受訓學員官等","地方行政研習中心受訓學員官等","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處地方行政研習中心受訓學員年齡","xls","http://www.dgpa.gov.tw/public/Attachment/431911164838.xls","other","行政院人事行政總處地方行政研習中心受訓學員年齡","地方行政研習中心受訓學員年齡","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處地方行政研習中心受訓學員性別及學歷","xls","http://www.dgpa.gov.tw/public/Attachment/43111740992.xls","other","行政院人事行政總處地方行政研習中心受訓學員性別及學歷","地方行政研習中心受訓學員性別及學歷","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處地方行政研習中心開班數及受訓人次","xls","http://www.dgpa.gov.tw/public/Attachment/43111741691.xls","other","行政院人事行政總處地方行政研習中心開班數及受訓人次","地方行政研習中心開班數及受訓人次","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處職員概況","xls","http://www.dgpa.gov.tw/public/Attachment/431117412430.xlsx","other","行政院人事行政總處職員概況","行政院人事行政總處職員概況","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"基隆優質餐廳","pdf","http://www.klcg.gov.tw/uploaddowndoc?file=/pubklcg/downfile/%E5%9F%BA%E9%9A%86%E5%84%AA%E8%B3%AA%E9%A4%90%E5%BB%B3.pdf&flag=doc","other","基隆優質餐廳","基隆優質餐廳","基隆市政府","不更新","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","http://www.klcg.gov.tw/uploaddowndoc?file=/pubklcg/downfile/%E5%9F%BA%E9%9A%86%E5%84%AA%E8%B3%AA%E9%A4%90%E5%BB%B3.pdf&flag=doc","陳小姐","02-24289225",""
"各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形 ","xls","http://www.dgpa.gov.tw/public/Data/4111411361771.xlsx","other","各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形 ","各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形","行政院人事行政總處","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"中華職棒大聯盟歷年比賽場次","csv","http://www.sa.gov.tw/wSite/public/Data/f1423212823468.csv","rawData","中華職棒大聯盟歷年比賽場次","民國年,職棒年,場次","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","周先生","02-87711863",""
"行政院所屬各機關暨地方政府人事機構編制員額職等統計(依官等及性別區分) ","xls","http://www.dgpa.gov.tw/public/Data/43311429771.xls","other","行政院所屬各機關暨地方政府人事機構編制員額職等統計(依官等及性別區分) ","行政院所屬各機關暨地方政府人事機構編制員額職等統計(依官等及性別區分) ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院暨所屬機關進用女性政務首長、政務副首長之比例 ","xls","http://www.dgpa.gov.tw/public/Data/4111411403371.xls","other","行政院暨所屬機關進用女性政務首長、政務副首長之比例 ","行政院暨所屬機關進用女性政務首長、政務副首長之比例 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院暨所屬機關〈構〉學校進用女性情形表","xls","http://www.dgpa.gov.tw/public/Data/4111411414771.xlsx","other","行政院暨所屬機關〈構〉學校進用女性情形表 ","行政院暨所屬機關〈構〉學校進用女性情形表 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院暨所屬中央及地方各機關(構)學校高普暨初等考試錄取人員歷年性別統計 ","xls","http://www.dgpa.gov.tw/public/Data/433114294571.xls","other","行政院暨所屬中央及地方各機關(構)學校高普暨初等考試錄取人員歷年性別統計 ","行政院暨所屬中央及地方各機關(構)學校高普暨初等考試錄取人員歷年性別統計 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"各主管機關(含所屬)育嬰留職停薪之性別統計表 ","xls","http://www.dgpa.gov.tw/public/Data/4319140371.xls","other","各主管機關(含所屬)育嬰留職停薪之性別統計表 ","各主管機關(含所屬)育嬰留職停薪之性別統計表 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","每年","陳先生","02-23979298#816",""
"近7年行政院模範公務人員性別統計表 ","word","http://www.dgpa.gov.tw/public/Data/411141144471.doc","other","近7年行政院模範公務人員性別統計表","近7年行政院模範公務人員性別統計表 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"各縣市體育局、處（場）預算概況","csv","http://www.sa.gov.tw/wSite/public/Data/f1423213145218.csv","rawData","各縣市體育局、處（場）預算概況","年度,機關名稱,預算總額,經常門,資本門","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","曹先生","02-87711829",""
"各縣市所屬機關學校公教人員官等及性別統計表","xls","http://www.dgpa.gov.tw/lp.asp?ctNode=1753&CtUnit=621&BaseDSD=7&mp=1","other","各縣市所屬機關學校公教人員官等及性別統計表","各縣市所屬機關學校公教人員官等及性別統計表","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
" 行政院暨所屬機關學校職(教)員官等及性別統計季報表","xls","http://www.dgpa.gov.tw/ct.asp?xItem=9163&ctNode=393","other"," 行政院暨所屬機關學校職(教)員官等及性別統計季報表"," 行政院暨所屬機關學校職(教)員官等及性別統計季報表","行政院人事行政總處","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"訓練研習成果之性別統計&行政院所屬各機關暨地方政府公務人員訓練進修性別統計表 ","xls","http://www.dgpa.gov.tw/public/Data/462615455671.xls","other","訓練研習成果之性別統計&行政院所屬各機關暨地方政府公務人員訓練進修性別統計表","訓練研習成果之性別統計&行政院所屬各機關暨地方政府公務人員訓練進修性別統計表","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"中華職棒大聯盟歷年現場觀眾總人次、平均單場人次","csv","http://www.sa.gov.tw/wSite/public/Data/f1423644498557.csv","rawData","中華職棒大聯盟歷年現場觀眾總人次、平均單場人次","民國,年度,觀眾總人次,平均單場觀眾人次","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","周先生","02-87711863",""
"行政院人事行政總處公務人力發展中心93至103年度參加訓練研習學員性別統計表","word","http://www.dgpa.gov.tw/public/Data/4111411451371.doc","other","行政院人事行政總處公務人力發展中心93至103年度參加訓練研習學員性別統計表","行政院人事行政總處公務人力發展中心93至103年度參加訓練研習學員性別統計表 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處地方行政研習中心近5年參加訓練研習學員性別統計表","word","http://www.dgpa.gov.tw/public/Data/411141146971.doc","other","行政院人事行政總處地方行政研習中心近5年參加訓練研習學員性別統計表 ","行政院人事行政總處地方行政研習中心近5年參加訓練研習學員性別統計表 ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院人事行政總處公務人力發展中心受訓學員統計表（依年齡、性別、學歷分） ","xls","http://www.dgpa.gov.tw/public/Data/4111411564271.xls","other","行政院人事行政總處公務人力發展中心受訓學員統計表（依年齡、性別、學歷分） ","行政院人事行政總處公務人力發展中心受訓學員統計表（依年齡、性別、學歷分） ","行政院人事行政總處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院所屬暨地方政府機關(構)學校、事業機構職(教)員官等及性別統計季報表 ","xls","http://www.dgpa.gov.tw/public/Data/411141214671.xls","other","行政院所屬暨地方政府機關(構)學校、事業機構職(教)員官等及性別統計季報表 ","行政院所屬暨地方政府機關(構)學校、事業機構職(教)員官等及性別統計季報表 ","行政院人事行政總處","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"行政院各部會性別平等專案小組運作情形暨組成性別統計季報表 ","xls","http://www.dgpa.gov.tw/public/Data/411141223071.xls","other","行政院各部會性別平等專案小組運作情形暨組成性別統計季報表 ","行政院各部會性別平等專案小組運作情形暨組成性別統計季報表 ","行政院人事行政總處","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","陳先生","02-23979298#816",""
"聯合信用卡處理中心年報","pdf","http://www.nccc.com.tw/dataDownload/102Chenese.pdf","other","(聯卡中心)本年報非屬系統/資料庫型態，係以人工作業彙整本中心過去一年之營運狀況及各項數據統計(總數)，主要透由文數字及各項圖表概述說明，以期提升各界對本中心之認識。內容區分中、英文版本，檔案格式為pdf，僅供查詢使用，民眾如需相關業務數字可至聯卡中心民眾專區「業務數據統計」定期公告，或「民眾專區>關於中心>中心年報>」下載加值應用。","聯合信用卡處理中心102年年報","金融監督管理委員會銀行局","按年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-89689876",""
"103年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/103年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA1c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"102年醫院總額專業醫療服務品質指標統計報表-年報","word","http://www.nhi.gov.tw/Resource/webdata/102年醫院總額年報.docx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA2c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"102年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/102年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA3c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"101年醫院總額專業醫療服務品質指標統計報表-年報","word","http://www.nhi.gov.tw/Resource/webdata/101年醫院總額年報.docx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA4c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"101年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/101年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA5c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"100年醫院總額專業醫療服務品質指標統計報表-年報","word","http://www.nhi.gov.tw/Resource/webdata/100年醫院總額年報.docx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA6c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"100年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/100年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA7c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"99年醫院總額專業醫療服務品質指標統計報表-年報","word","http://www.nhi.gov.tw/Resource/webdata/99年醫院總額年報.docx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA8c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"99年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/99年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA8c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"98年醫院總額專業醫療服務品質指標統計報表-年報","word","http://www.nhi.gov.tw/Resource/webdata/98年醫院總額年報.docx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA10c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"98年醫院總額專業醫療服務品質指標統計報表-季報","xls","http://www.nhi.gov.tw/Resource/webdata/98年醫院總額.xlsx","other","門診注射劑使用率及抗生素使用率、同醫院門診同藥理用藥日數重疊率、十八歲以下氣喘病人急診率、住院案件出院後三日以內急診率、剖腹產率、糖尿病病人醣化血紅素（HbA11c）執行率…","層級：年季、資料、醫學中心、區域醫院、地區醫院。分區：年季、資料、台北、北區、中區、南區、高屏、東區、合計","衛生福利部中央健康保險署","歷史資料","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","李先生","02-27065866#2576",""
"中央與地方政府體育行政主管機關組織人力性別統計","csv","http://www.sa.gov.tw/wSite/public/Data/f1423441643109.csv","rawData","中央與地方政府體育行政主管機關組織人力性別統計","年度,機關名稱,合計總人數,男性人數,百分比（%）,女性人數,百分比（%）","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","曹先生","02-87711829",""
"中央與地方政府體育行政主管機關組織人力概況","csv","http://www.sa.gov.tw/wSite/public/Data/f1423441870343.csv","rawData","中央與地方政府體育行政主管機關組織人力概況","年度,機關名稱,編制員額,任用正式員額人數,任用約聘僱人數,任用其他人員人數,合計任用人數","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","曹先生","02-87711829",""
"中央與地方政府體育行政主管機關年度預算概況","csv","http://www.sa.gov.tw/wSite/public/Data/f1423442149859.csv","rawData","中央與地方政府體育行政主管機關年度預算概況","年度,機關名稱,預算總額,經常門,資本門","教育部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","曹先生","02-87711829",""
"地政司支付或接收補助/對地方之補助","","","","提供地政司支付或接收補助/對地方之補助。","提供地政司支付或接收補助/對地方之補助。","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","鄭小姐","04-2254496*213",""
"集會遊行資訊","csv","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DS=2E2E281C-5E92-446F-B1E7-3A975C0AF0D1","rawData","提供集會遊行資訊","活動開始時間、活動結束時間、活動類別、集會處所或遊行路線、主管機關","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","王先生","(02)2396-2364",""
